Unidad territorial, Variable, 2022
Lago Ranco (Región de los Ríos), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2018.0
Río Bueno (Región de los Ríos), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 7122.0
San Pablo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1975.0
Osorno, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 32025.0
San Juan De La Costa, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1229.0
Puyehue, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2467.0
Río Negro, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2662.0
Purranque, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4161.0
Puerto Octay, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1697.0
Frutillar, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5008.0
Fresia, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2415.0
Llanquihue, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4489.0
Puerto Varas, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 11746.0
Los Muermos, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3162.0
Puerto Montt, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 53093.0
Maullín, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2235.0
Cochamó, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 816.0
Calbuco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 6919.0
Ancud, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 7185.0
Hualaihué, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1589.0
Quemchi, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1336.0
Dalcahue, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2593.0
Curaco De Vélez, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 530.0
Quinchao, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1040.0
Castro, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 8974.0
Puqueldón, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 628.0
Chonchi, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2849.0
Queilén, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 852.0
Chaitén, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 858.0
Quellón, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4711.0
Futaleufú, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 476.0
Palena, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 348.0
Guaitecas, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 316.0
Lago Verde, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 208.0
Cisnes, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1209.0
Aysén, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4668.0
Coyhaique, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 14059.0
