Id_comuna;Id_comisaria;Nombre_comisaria;Direccion;Fono;Tipo;;;;;
5101;181;TENENCIA CARRETERA VALPARAISO;RUTA 68 95200;323132178;TENENCIA;;;;;
5101;182;RETEN PLACILLA PEUELAS;ANTONIO SAMORE S/N;3223132163;RETEN;;;;;
5101;183;RETEN LAGUNA VERDE;PRINCIPAL S/N;3223132117;RETEN;;;;;
5102;184;RETEN QUINTAY;JORGE MONTT S/N;323132200;RETEN;;;;;
5102;185;5A COMISARIA DE CASABLANCA;CALLE MEMBRILLAR N 125;323132181;COMISARIA;;;;;
5103;186;4A. COMISARIA CONCON;AVENIDA MANANTIALES N 933;323132570;COMISARIA;;;;;
5105;187;RETEN MAITENCILLO;PADRE ENRIQUE DEL RIO N 463;323132413;RETEN;;;;;
5105;188;TENENCIA PUCHUNCAVI;PRESIDENTE RIOS N 920;323132410;TENENCIA;;;;;
5105;189;RETEN HORCON;AVENIDA PRINCIPAL N 803;323132414;RETEN;;;;;
5105;190;RETEN LAS VENTANAS;PEDRO ALDUNATE SOLAR N 1028;323132415;RETEN;;;;;
5107;191;SUBCOMISARiA QUINTERO;AVENIDA. FRANCIA N 1341;323132402;SUBCOMISARIA;;;;;
5109;192;TENENCIA REACA;BELLAVISTA S/N;323132383;TENENCIA;;;;;
5109;193;TENENCIA REACA ALTO;CALLE NUEVE N 925, PARADERO 8 1/2;323132460;TENENCIA;;;;;
5109;194;SUBCOMISARiA GOMEZ CARREO;AV. PACIFICO S/N;323132395;SUBCOMISARIA;;;;;
5109;195;5A. COMISARiA DE VIA DEL MAR (S.U.);CALLE EL LUCUMO N 2875, MIRAFLORES;323132353;COMISARIA;;;;;
5109;196;1A. COMISARiA DE VIA DEL MAR;4 NORTE N 320;323132303;COMISARIA;;;;;
5109;197;RETEN PALACIO PRESIDENCIAL;CALLAO N 398;323132500;RETEN;;;;;
5109;198;TENENCIA FORESTAL;SIMON BOLIVAR N 354;323132480;TENENCIA;;;;;
5109;199;TENENCIA RECREO;18 DE SEPTIEMBRE N 298;323132386;TENENCIA;;;;;
5109;200;TENENCIA NUEVA AURORA;CALLE BORINQUEN S/N;323132392;TENENCIA;;;;;
5201;201;6A. COMISARiA DE ISLA DE PASCUA;AV. MATAVERI S/N;323132600;COMISARIA;;;;;
5201;202;TENENCIA ASIST.MENORES ISLA PASCUA;MANUTARA S/N;323132224;TENENCIA;;;;;
5301;203;SUBCOMISARiA LOS LIBERTADORES (F);RUTA CH60 KM 107;342334097;SUBCOMISARIA;;;;;
5301;204;3A. COMISARiA LOS ANDES;AVENIDA SANTA TERESA N 491;342334079;COMISARIA;;;;;
5302;205;TENENCIA CALLE LARGA;CALLE LARGA N 2090;342334104;TENENCIA;;;;;
5303;206;TENENCIA RINCONADA;SAN MARTIN N 593;342334107;TENENCIA;;;;;
5304;207;TENENCIA SAN ESTEBAN (F);AVENIDA ALESSANDRI N 206;342334109;TENENCIA;;;;;
5401;208;RETEN LOS MOLLES;AVENIDA HERMANOS DE LA COSTA N 90;332433039;RETEN;;;;;
5401;209;RETEN VALLE HERMOSO;ESMERALDA N 3550;332433037;RETEN;;;;;
5401;210;1A. COMISARiA DE LA LIGUA;DIEGO PORTALES N 333;332433000;COMISARIA;;;;;
5402;211;TENENCIA CABILDO;HUMERES N 494;332433025;TENENCIA;;;;;
5403;212;RETEN PAPUDO;DOMINGO FERNANDEZ CONCHA N 610;332433035;RETEN;;;;;
5404;213;RETEN CHINCOLCO;AV. PEDRO MONTT N 1610;332433031;RETEN;;;;;
5404;214;TENENCIA PETORCA;SILVA N 695;332433022;TENENCIA;;;;;
5404;215;RETEN CASAS DE ALICAHUE;RUTA E445 KM 33;332433027;RETEN;;;;;
5404;216;TENENCIA CARRETERAS PETORCA;RUTA 5 NORTE KM 156;332433029;TENENCIA;;;;;
